id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Sunset,Ill Cadence,hip hop,confident,0.68,95,0.62,0.85,0.12
12,Velvet Hours,Mara Vale,soul,romantic,0.54,102,0.74,0.69,0.33
13,Highland Dawn,Fjord & Fell,folk,nostalgic,0.46,88,0.58,0.47,0.81
14,Basement Riot,Static Teeth,punk,angry,0.95,168,0.35,0.60,0.06
15,Tidal Bloom,Kaya Sol,reggae,relaxed,0.58,96,0.79,0.83,0.28
16,Crystal Cascade,Aurora Field,electronic,euphoric,0.88,128,0.72,0.90,0.08
17,Prairie Letters,June Halloway,country,melancholy,0.44,84,0.41,0.52,0.74
18,Temple of Bass,Grimewave,drum and bass,intense,0.97,174,0.55,0.81,0.04
